id,name,age,city
0,Sangeeta,26,Kolkata
1,Deepak,24,Delhi
2,Sangeeta,24,Chennai
3,Sangeeta,24,Delhi
4,Akshay,26,Kolkata
5,Deepak,25,Mumbai
6,Akshay,25,Delhi
7,Akshay,26,Delhi
8,Sangeeta,26,Delhi
9,Sahil,25,Mumbai
10,Geetika,26,Delhi
11,Deepak,24,Delhi
12,Akshay,26,Kolkata
13,Sangeeta,24,Mumbai
14,Sahil,24,Mumbai
15,Sangeeta,25,Mumbai
16,Sangeeta,25,Chennai
17,Sahil,24,Delhi
18,Sangeeta,26,Kolkata
19,Deepak,26,Kolkata
20,Geetika,25,Mumbai
21,Sahil,26,Delhi
22,Akshay,26,Mumbai
23,Geetika,25,Mumbai
24,Akshay,26,Delhi
25,Sahil,25,Mumbai
26,Sangeeta,24,Mumbai
27,Anubhav,25,Mumbai
28,Sangeeta,25,Delhi
29,Sangeeta,26,Delhi
30,Anubhav,24,Mumbai
31,Sangeeta,25,Kolkata
32,Geetika,24,Chennai
33,Akshay,25,Kolkata
34,Sangeeta,24,Chennai
35,Deepak,26,Chennai
36,Sangeeta,26,Chennai
37,Sangeeta,26,Delhi
38,Deepak,24,Mumbai
39,Akshay,26,Kolkata
40,Geetika,26,Mumbai
41,Sangeeta,26,Kolkata
42,Geetika,26,Delhi
43,Sangeeta,24,Delhi
44,Sangeeta,25,Chennai
45,Sahil,24,Delhi
46,Sangeeta,25,Chennai
47,Akshay,25,Kolkata
48,Anubhav,26,Delhi
49,Sangeeta,25,Delhi
50,Anubhav,25,Kolkata
51,Sangeeta,24,Mumbai
52,Akshay,26,Kolkata
53,Anubhav,25,Mumbai
54,Geetika,25,Delhi
55,Deepak,25,Delhi
56,Sahil,25,Mumbai
57,Anubhav,24,Mumbai
58,Akshay,26,Kolkata
59,Sahil,26,Chennai
60,Sangeeta,24,Chennai
61,Sahil,24,Delhi
62,Geetika,24,Kolkata
63,Deepak,25,Kolkata
64,Sangeeta,25,Chennai
65,Anubhav,24,Chennai
66,Akshay,25,Delhi
67,Deepak,26,Mumbai
68,Sangeeta,24,Kolkata
69,Anubhav,24,Delhi
70,Anubhav,25,Mumbai
71,Akshay,26,Chennai
72,Anubhav,26,Delhi
73,Anubhav,26,Mumbai
74,Geetika,24,Kolkata
75,Akshay,24,Kolkata
76,Sahil,26,Chennai
77,Deepak,26,Kolkata
78,Geetika,25,Delhi
79,Sahil,25,Chennai
80,Sangeeta,26,Chennai
81,Sahil,26,Delhi
82,Anubhav,24,Delhi
83,Deepak,25,Kolkata
84,Geetika,24,Chennai
85,Akshay,26,Kolkata
86,Sangeeta,25,Kolkata
87,Anubhav,24,Mumbai
88,Akshay,25,Chennai
89,Deepak,26,Mumbai
90,Sahil,24,Delhi
91,Sangeeta,25,Delhi
92,Geetika,24,Chennai
93,Akshay,26,Chennai
94,Anubhav,24,Chennai
95,Sangeeta,25,Kolkata
96,Deepak,24,Kolkata
97,Sangeeta,24,Delhi
98,Anubhav,24,Kolkata
99,Deepak,24,Mumbai
100,Geetika,24,Kolkata
101,Akshay,25,Chennai
102,Akshay,26,Mumbai
103,Sangeeta,25,Kolkata
104,Sangeeta,24,Mumbai
105,Anubhav,26,Delhi
106,Deepak,24,Delhi
107,Akshay,25,Chennai
108,Sangeeta,25,Kolkata
109,Deepak,25,Kolkata
110,Anubhav,24,Kolkata
111,Deepak,25,Mumbai
112,Sahil,25,Delhi
113,Akshay,24,Mumbai
114,Deepak,24,Chennai
115,Sangeeta,25,Chennai
116,Deepak,25,Kolkata
117,Sahil,25,Kolkata
118,Akshay,25,Chennai
119,Sahil,26,Chennai
120,Geetika,25,Chennai
121,Akshay,24,Chennai
122,Anubhav,26,Chennai
123,Anubhav,25,Delhi
124,Akshay,26,Mumbai
125,Sahil,25,Kolkata
126,Sahil,26,Chennai
127,Deepak,25,Mumbai
128,Geetika,26,Delhi
